# Wavelength (microns) index https://refractiveindex.info/?shelf=main&book=ZnSe&page=Connolly  J. Connolly, B. diBenedetto, and R. Donadio. Specifications of Raytran material, Proc. SPIE, 181, 141-144 (1979)
0.5400;2.6754070553574
0.5593;2.6520424455657
0.5794;2.6317175714787
0.6001;2.6140303737669
0.6216;2.5983607995054
0.6438;2.5844586054284
0.6669;2.5719558867942
0.6908;2.5607229015544
0.7155;2.550597669605
0.7411;2.5414115792934
0.7676;2.5330628470932
0.7951;2.5254370943465
0.8236;2.5184662202576
0.8531;2.5120890823096
0.8836;2.5062506638881
0.9153;2.5008693879609
0.9480;2.4959395765983
0.9820;2.491381538547
1.017;2.4872038118492
1.054;2.4832705080114
1.091;2.4797611907254
1.130;2.4764545818801
1.171;2.4733501942522
1.213;2.470508426793
1.256;2.4679031793035
1.301;2.4654597959479
1.348;2.4631733664686
1.396;2.4610790268664
1.446;2.4591199474294
1.498;2.4572898676874
1.551;2.4556120391508
1.607;2.4540163763436
1.664;2.4525534195146
1.724;2.4511648811573
1.786;2.4498707190936
1.850;2.4486640451781
1.916;2.4475382277485
1.984;2.4464869289707
2.055;2.445490749972
2.129;2.4445476105234
2.205;2.4436660501592
2.284;2.4428302113912
2.366;2.4420373363811
2.451;2.4412844940947
2.538;2.4405764585331
2.629;2.4398939364348
2.723;2.4392423329839
2.821;2.4386124037559
2.922;2.4380081959549
3.027;2.4374212408725
3.135;2.4368546493456
3.247;2.4363006631373
3.363;2.4357571997291
3.484;2.435217752342
3.609;2.4346848461709
3.738;2.434156187858
3.872;2.4336255926137
4.010;2.4330948974675
4.154;2.4325543669848
4.303;2.4320057579412
4.457;2.4314468658475
4.616;2.4308754379105
4.781;2.4302856128635
4.953;2.4296714867306
5.130;2.4290377509613
5.314;2.4283746824787
5.504;2.427683195678
5.701;2.4269568374935
5.905;2.4261925991095
6.116;2.4253873320628
6.335;2.4245338105969
6.562;2.4236283253232
6.797;2.4226669698742
7.040;2.421645639593
7.292;2.420555638158
7.554;2.4193875095461
7.824;2.4181449549736
8.104;2.4168132523
8.394;2.415386090358
8.695;2.4138515795775
9.006;2.4122074089606
9.329;2.4104348069698
9.662;2.408536016433
10.01;2.4064721474658
10.37;2.4042491420928
10.74;2.4018685097248
11.12;2.3993194515127
11.52;2.3965189085328
11.93;2.3935196408664
12.36;2.3902295807358
12.80;2.3867047476805
13.26;2.3828424830808
13.74;2.3786119345952
14.23;2.374073824894
14.74;2.3691051426901
15.26;2.3637699475283
15.81;2.3578172520662
16.38;2.3512950603257
16.96;2.344269528251
17.57;2.3364326866015
18.20;2.3278267712447
